epoch,total,pde,ic,seis,bc
194,2.4717274308e-01,8.2891896367e-02,7.9279171769e-04,2.0300304890e-01,8.7177287787e-04
195,2.4691922963e-01,7.4733324349e-02,7.9171109246e-04,2.0298933983e-01,1.0076860199e-03
196,2.4708053470e-01,7.9581111670e-02,7.9066224862e-04,2.0297551155e-01,1.0774264811e-03
197,2.4688333273e-01,7.4526093900e-02,7.8961299732e-04,2.0296157897e-01,8.3389494102e-04
198,2.4686175585e-01,7.3868647218e-02,7.8842800576e-04,2.0294794440e-01,8.7809457909e-04
199,2.4675875902e-01,7.0967920125e-02,7.8735419083e-04,2.0293414593e-01,8.6198112695e-04
200,2.4688871205e-01,7.5084961951e-02,7.8622391447e-04,2.0292036235e-01,8.4626360331e-04
201,2.4691250920e-01,7.5358428061e-02,7.8525312711e-04,2.0290653408e-01,1.0180297541e-03
202,2.4697218835e-01,7.7292494476e-02,7.8434444731e-04,2.0289248228e-01,1.0126644047e-03
203,2.4688914418e-01,7.5325019658e-02,7.8355672304e-04,2.0287832618e-01,9.0742018074e-04
204,2.4664334953e-01,6.8271704018e-02,7.8268302605e-04,2.0286446810e-01,8.9523621136e-04
205,2.4669824541e-01,6.9834418595e-02,7.8158336692e-04,2.0285072923e-01,9.5970631810e-04
206,2.4696525931e-01,7.8094847500e-02,7.8048428986e-04,2.0283687115e-01,8.6511590052e-04
207,2.4670273066e-01,7.0703603327e-02,7.7967927791e-04,2.0282280445e-01,8.3743408322e-04
208,2.4653017521e-01,6.5645337105e-02,7.7864114428e-04,2.0280902088e-01,9.0908462880e-04
209,2.4696683884e-01,7.8835360706e-02,7.7751209028e-04,2.0279517770e-01,7.6828780584e-04
210,2.4669677019e-01,7.0741079748e-02,7.7627575956e-04,2.0278175175e-01,9.1570062796e-04
211,2.4684780836e-01,7.5637362897e-02,7.7489472460e-04,2.0276838541e-01,7.7971367864e-04
212,2.4667280912e-01,7.0636108518e-02,7.7344471356e-04,2.0275494456e-01,8.3435926354e-04
213,2.4664859474e-01,7.0004902780e-02,7.7176559716e-04,2.0274148881e-01,8.6779019330e-04
214,2.4653601646e-01,6.7179001868e-02,7.7001366299e-04,2.0272785425e-01,8.1967533333e-04
215,2.4668532610e-01,7.1299329400e-02,7.6834158972e-04,2.0271384716e-01,8.9288665913e-04
216,2.4668893218e-01,7.1676693857e-02,7.6678756159e-04,2.0269989967e-01,8.5985031910e-04
217,2.4676568806e-01,7.3624849319e-02,7.6549558435e-04,2.0268560946e-01,9.6476450562e-04
218,2.4668240547e-01,7.1707732975e-02,7.6450710185e-04,2.0267117023e-01,8.9824368479e-04
219,2.4642348289e-01,6.4798958600e-02,7.6381373219e-04,2.0265641809e-01,8.9279451640e-04
220,2.4647322297e-01,6.6361330450e-02,7.6295743929e-04,2.0264172554e-01,8.9110259432e-04
221,2.4675826728e-01,7.4656501412e-02,7.6219718903e-04,2.0262697339e-01,7.7959557530e-04
222,2.4648374319e-01,6.7334577441e-02,7.6153792907e-04,2.0261238515e-01,7.9464557348e-04
223,2.4630464613e-01,6.2327872962e-02,7.6068833005e-04,2.0259806514e-01,9.0601196280e-04
224,2.4677145481e-01,7.5507231057e-02,7.5961259427e-04,2.0258381963e-01,7.5983465649e-04
225,2.4646851420e-01,6.7480430007e-02,7.5841217767e-04,2.0257002115e-01,7.8411033610e-04
226,2.4665348232e-01,7.2438031435e-02,7.5700489106e-04,2.0255619287e-01,8.2233705325e-04
227,2.4644559622e-01,6.7508451641e-02,7.5549609028e-04,2.0254218578e-01,6.9644203177e-04
228,2.4643354118e-01,6.6909998655e-02,7.5409130659e-04,2.0252785087e-01,8.4105145652e-04
229,2.4631226063e-01,6.4148820937e-02,7.5266708154e-04,2.0251362026e-01,7.6919776620e-04
230,2.4646361172e-01,6.8248949945e-02,7.5121852569e-04,2.0249927044e-01,7.8425987158e-04
231,2.4646618962e-01,6.8697221577e-02,7.4994360330e-04,2.0248499513e-01,7.2029529838e-04
232,2.4655088782e-01,7.0625931025e-02,7.4897811282e-04,2.0247040689e-01,8.5582572501e-04
233,2.4644768238e-01,6.8729892373e-02,7.4817938730e-04,2.0245593786e-01,6.6752021667e-04
234,2.4617259204e-01,6.1913758516e-02,7.4756430695e-04,2.0244127512e-01,6.4551603282e-04
235,2.4625048041e-01,6.3448615372e-02,7.4670481263e-04,2.0242676139e-01,8.4832019638e-04
236,2.4654111266e-01,7.1759201586e-02,7.4559682980e-04,2.0241230726e-01,6.2064570375e-04
237,2.4625331163e-01,6.4512558281e-02,7.4439833406e-04,2.0239797235e-01,6.5752636874e-04
238,2.4605759978e-01,5.9568524361e-02,7.4308284093e-04,2.0238322020e-01,7.2394881863e-04
239,2.4657087028e-01,7.2756148875e-02,7.4168900028e-04,2.0236828923e-01,7.0094101829e-04
240,2.4624633789e-01,6.4815096557e-02,7.4043706991e-04,2.0235344768e-01,6.9917965448e-04
241,2.4643579125e-01,6.9832079113e-02,7.3927314952e-04,2.0233866572e-01,6.6621007863e-04
242,2.4623875320e-01,6.4963243902e-02,7.3857500684e-04,2.0232328773e-01,7.1759795537e-04
243,2.4620613456e-01,6.4369328320e-02,7.3775195051e-04,2.0230814815e-01,7.1233784547e-04
244,2.4608196318e-01,6.1664674431e-02,7.3712680023e-04,2.0229294896e-01,6.6346424865e-04
245,2.4623599648e-01,6.5739914775e-02,7.3642854113e-04,2.0227774978e-01,6.3273863634e-04
246,2.4624875188e-01,6.6252261400e-02,7.3568779044e-04,2.0226311684e-01,6.2407896621e-04
247,2.4633707106e-01,6.8164318800e-02,7.3489098577e-04,2.0224845409e-01,7.5264269253e-04
248,2.4625831842e-01,6.6300645471e-02,7.3373212945e-04,2.0223444700e-01,7.8785832739e-04
249,2.4596031010e-01,5.9580311179e-02,7.3235970922e-04,2.0222058892e-01,6.9267593790e-04
250,2.4601003528e-01,6.1101634055e-02,7.3065265315e-04,2.0220646262e-01,6.5306673059e-04
251,2.4635352194e-01,6.9434516132e-02,7.2899583029e-04,2.0219205320e-01,6.7907478660e-04
252,2.4606029689e-01,6.2247730792e-02,7.2765996447e-04,2.0217758417e-01,7.9638935858e-04
253,2.4583162367e-01,5.7334613055e-02,7.2662736056e-04,2.0216298103e-01,6.9354078732e-04
254,2.4637563527e-01,7.0484347641e-02,7.2576582897e-04,2.0214813948e-01,6.6480837995e-04
255,2.4603874981e-01,6.2578916550e-02,7.2531483602e-04,2.0213277638e-01,7.0974824484e-04
256,2.4623608589e-01,6.7612968385e-02,7.2485883720e-04,2.0211744308e-01,6.4027053304e-04
257,2.4602568150e-01,6.2767654657e-02,7.2463112883e-04,2.0210188627e-01,6.7401264096e-04
258,2.4599459767e-01,6.2164932489e-02,7.2434067260e-04,2.0208647847e-01,6.9563451689e-04
259,2.4587653577e-01,5.9502974153e-02,7.2388973786e-04,2.0207113028e-01,7.3343329132e-04
260,2.4603000283e-01,6.3562117517e-02,7.2282028850e-04,2.0205608010e-01,6.3353648875e-04
261,2.4604862928e-01,6.4153559506e-02,7.2160072159e-04,2.0204126835e-01,6.4126885263e-04
262,2.4612945318e-01,6.6068857908e-02,7.2042649845e-04,2.0202642679e-01,6.7990389653e-04
263,2.4602878094e-01,6.4254716039e-02,7.1929860860e-04,2.0201191306e-01,5.7800306240e-04
264,2.4574169517e-01,5.7645618916e-02,7.1838800795e-04,2.0199698210e-01,6.6308816895e-04
265,2.4579320848e-01,5.9141371399e-02,7.1726233000e-04,2.0198208094e-01,6.2370899832e-04
266,2.4615432322e-01,6.7467525601e-02,7.1611168096e-04,2.0196737349e-01,6.2872283161e-04
