# source time function
# time function type  : 1
# amplification factor:  1.00000E+10
# DT                  :  5.00000E-05
# t0                  :  1.20000E-01
# time shift          :  0.00000E+00
# format
#time  #used_STF  #initial_source_function_value
 -0.101750001      -1.43390128E-06  -1.4339012750497204E-016
 -0.101700000      -1.49117307E-06  -1.4911730659150635E-016
 -0.101650000      -1.55070097E-06  -1.5507009720749921E-016
 -0.101599999      -1.61257265E-06  -1.6125726460813895E-016
 -0.101549998      -1.67687892E-06  -1.6768789237175952E-016
 -0.101499997      -1.74371428E-06  -1.7437142787457561E-016
 -0.101450004      -1.81317682E-06  -1.8131768229068257E-016
 -0.101400003      -1.88536842E-06  -1.8853684196074029E-016
 -0.101350002      -1.96039446E-06  -1.9603944565460551E-016
 -0.101300001      -2.03836498E-06  -2.0383649825816974E-016
 -0.101250000      -2.11939346E-06  -2.1193934571783756E-016
 -0.101199999      -2.20359857E-06  -2.2035985693946714E-016
 -0.101149999      -2.29110287E-06  -2.2911028736416484E-016
 -0.101099998      -2.38203347E-06  -2.3820334718038792E-016
 -0.101049997      -2.47652292E-06  -2.4765229227341476E-016
 -0.101000004      -2.57470856E-06  -2.5747085601324215E-016
 -0.100950003      -2.67673272E-06  -2.6767327199195279E-016
 -0.100900002      -2.78274297E-06  -2.7827429676108296E-016
 -0.100850001      -2.89289369E-06  -2.8928936899319524E-016
 -0.100800000      -3.00734314E-06  -3.0073431389610051E-016
 -0.100749999      -3.12625730E-06  -3.1262572974810611E-016
 -0.100699998      -3.24980761E-06  -3.2498076052434043E-016
 -0.100649998      -3.37817232E-06  -3.3781723232095830E-016
 -0.100599997      -3.51153631E-06  -3.5115363061777318E-016
 -0.100550003      -3.65009123E-06  -3.6500912301562493E-016
 -0.100500003      -3.79403627E-06  -3.7940362744848245E-016
 -0.100450002      -3.94357812E-06  -3.9435781218344344E-016
 -0.100400001      -4.09893119E-06  -4.0989311855810231E-016
 -0.100350000      -4.26031784E-06  -4.2603178371791729E-016
 -0.100299999      -4.42796863E-06  -4.4279686335357835E-016
 -0.100249998      -4.60212414E-06  -4.6021241359994751E-016
 -0.100199997      -4.78303264E-06  -4.7830326366238300E-016
 -0.100149997      -4.97095152E-06  -4.9709515224094500E-016
 -0.100100003      -5.16614864E-06  -5.1661486395460088E-016
 -0.100050002      -5.36890184E-06  -5.3689018386648971E-016
 -0.100000001      -5.57949988E-06  -5.5794998843339267E-016
  -9.99500006E-02  -5.79824109E-06  -5.7982410908152814E-016
  -9.98999998E-02  -6.02543605E-06  -6.0254360505496148E-016
  -9.98499990E-02  -6.26140627E-06  -6.2614062699140051E-016
  -9.97999981E-02  -6.50648553E-06  -6.5064855334640012E-016
  -9.97499973E-02  -6.76102081E-06  -6.7610208134283315E-016
  -9.96999964E-02  -7.02537136E-06  -7.0253713602141946E-016
  -9.96500030E-02  -7.29990961E-06  -7.2999096119019673E-016
  -9.96000022E-02  -7.58502210E-06  -7.5850221037399027E-016
  -9.95500013E-02  -7.88111174E-06  -7.8811117418808866E-016
  -9.95000005E-02  -8.18859280E-06  -8.1885928011615759E-016
  -9.94499996E-02  -8.50789820E-06  -8.5078982010600161E-016
  -9.93999988E-02  -8.83947450E-06  -8.8394745034747761E-016
  -9.93499979E-02  -9.18378828E-06  -9.1837882791878649E-016
  -9.92999971E-02  -9.54131974E-06  -9.5413197414018207E-016
  -9.92500037E-02  -9.91256911E-06  -9.9125691122026174E-016
  -9.92000028E-02  -1.02980557E-05  -1.0298055713064969E-015
  -9.91500020E-02  -1.06983161E-05  -1.0698316145862919E-015
  -9.91000012E-02  -1.11139088E-05  -1.1113908840343356E-015
  -9.90500003E-02  -1.15454113E-05  -1.1545411325641908E-015
  -9.89999995E-02  -1.19934239E-05  -1.1993423868261744E-015
  -9.89499986E-02  -1.24585695E-05  -1.2458569472073577E-015
  -9.88999978E-02  -1.29414921E-05  -1.2941492059326265E-015
  -9.88499969E-02  -1.34428619E-05  -1.3442861927615014E-015
  -9.88000035E-02  -1.39633721E-05  -1.3963372111902572E-015
  -9.87500027E-02  -1.45037420E-05  -1.4503742022498045E-015
  -9.87000018E-02  -1.50647184E-05  -1.5064718354551588E-015
  -9.86500010E-02  -1.56470760E-05  -1.5647075997549110E-015
  -9.86000001E-02  -1.62516153E-05  -1.6251615306828172E-015
  -9.85499993E-02  -1.68791703E-05  -1.6879170289030299E-015
  -9.84999985E-02  -1.75306013E-05  -1.7530601326143368E-015
  -9.84499976E-02  -1.82068052E-05  -1.8206805179943331E-015
